tissue,cohort,set_name,n_genes_in_set,n_genes_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_D1,retention_joint,status,exclusion_reason
liver,GSE14520,LEE_LIVER_CANCER_CIPROFIBRATE_DN,66,65,-0.5022,4.814842229364266e-34,0.4606,0.4994,included,
liver,GSE14520,LEE_LIVER_CANCER_CIPROFIBRATE_UP,60,57,-0.0557,0.00010864011595221696,0.873,0.2658,included,
liver,GSE14520,LEE_LIVER_CANCER_DENA_DN,74,73,-0.6636,5.608762829751234e-35,0.5189,0.5617,included,
liver,GSE14520,LEE_LIVER_CANCER_DENA_UP,60,59,0.2546,5.160317404154261e-18,0.3409,0.9126,included,
liver,GSE14520,LEE_LIVER_CANCER_E2F1_DN,64,62,-0.4814,5.565453762810564e-32,0.4254,0.4287,included,
liver,GSE14520,LEE_LIVER_CANCER_E2F1_UP,63,62,0.1591,3.5411366232872594e-11,0.5618,1.3529,included,
liver,GSE14520,LEE_LIVER_CANCER_HEPATOBLAST,16,16,-0.2308,1.7821687809854582e-07,2.5945,1.4834,included,
liver,GSE14520,LEE_LIVER_CANCER_MYC_DN,63,59,-0.4278,7.520149542307866e-33,0.4816,0.4061,included,
liver,GSE14520,LEE_LIVER_CANCER_MYC_E2F1_DN,64,63,-0.6441,2.6437885885198632e-34,0.5045,0.4988,included,
liver,GSE14520,LEE_LIVER_CANCER_MYC_E2F1_UP,56,55,0.3262,4.967273652205244e-27,0.7082,1.0954,included,
liver,GSE14520,LEE_LIVER_CANCER_MYC_TGFA_DN,65,64,-0.5813,3.9042525394115035e-33,0.4865,0.4792,included,
liver,GSE14520,LEE_LIVER_CANCER_MYC_TGFA_UP,61,59,0.1142,3.195679854242012e-10,0.2443,0.8045,included,
liver,GSE14520,LEE_LIVER_CANCER_MYC_UP,54,54,0.3148,8.492558097499504e-30,0.9606,1.0829,included,
liver,GSE14520,LEE_LIVER_CANCER_SURVIVAL_DN,180,151,0.8898,9.504204093371368e-36,0.7272,0.7819,included,
liver,GSE14520,LEE_LIVER_CANCER_SURVIVAL_UP,187,159,-0.7202,6.183246841341627e-32,0.3626,0.3882,included,
liver,GSE14520,LIU_LIVER_CANCER,35,24,-0.0012,0.8847800472086855,,,excluded,no unadjusted paired effect (two-sided Wilcoxon P >= 0.05)
liver,GSE14520,MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN,516,450,0.221,6.181975311630642e-30,0.9186,1.0734,included,
liver,GSE14520,MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,239,176,0.1533,3.7449561338258387e-26,0.5403,0.6656,included,
liver,GSE14520,MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER,55,36,0.2792,5.559075815641764e-28,0.7975,0.9046,included,
liver,GSE14520,MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN,21,18,-1.1282,2.0393046874736746e-34,0.5814,0.5118,included,
liver,GSE14520,MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_UP,14,,,,,,excluded,set size 14 outside 15 to 1000
liver,GSE14520,NABA_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,30,26,-0.0943,0.003011714173621609,3.1549,0.8911,included,
liver,GSE14520,OHGUCHI_LIVER_HNF4A_TARGETS_DN,170,126,-0.684,2.3062766418635386e-34,0.4664,0.4753,included,
liver,GSE14520,OHGUCHI_LIVER_HNF4A_TARGETS_UP,50,40,-0.4195,4.947569690206986e-34,0.7893,0.6665,included,
liver,GSE14520,PATIL_LIVER_CANCER,660,550,0.9262,1.4709973696897315e-36,0.9195,0.8926,included,
liver,GSE14520,ROESSLER_LIVER_CANCER_METASTASIS_DN,51,42,0.3329,2.061462091303166e-30,0.7335,0.8479,included,
liver,GSE14520,ROESSLER_LIVER_CANCER_METASTASIS_UP,106,104,0.0559,2.688675780653575e-06,0.1307,0.247,included,
liver,GSE14520,SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN,36,33,-0.2568,1.8016910734116163e-23,1.2053,1.1706,included,
liver,GSE14520,SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP,82,78,0.4979,4.464176293426377e-33,0.919,1.0332,included,
liver,GSE14520,SERVITJA_LIVER_HNF1A_TARGETS_DN,164,137,-0.4761,1.0136828313299712e-34,0.5616,0.5312,included,
liver,GSE14520,SERVITJA_LIVER_HNF1A_TARGETS_UP,138,111,0.1775,3.097676149090614e-26,0.9625,0.9512,included,
liver,GSE14520,SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1,260,206,0.3175,4.622354840984181e-34,0.7017,0.7751,included,
liver,GSE14520,SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2,168,139,0.2649,2.608317106130541e-31,0.6739,0.8412,included,
liver,GSE14520,SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3,75,65,0.2273,4.493220610902639e-25,0.6767,0.9178,included,
liver,GSE14520,SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4,288,240,-0.4215,1.4285280067283753e-34,0.6565,0.5948,included,
liver,GSE14520,SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM5,111,82,-0.0132,0.28666468366944087,,,excluded,no unadjusted paired effect (two-sided Wilcoxon P >= 0.05)
liver,GSE14520,SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6,55,45,0.1038,1.2410710964266089e-11,0.6466,0.6264,included,
