pool,covariate_mean_paired_shift,median_retention,n_below_50
unrestricted,-0.3685,0.9219,14
unrestricted,-0.0147,1.0399,4
unrestricted,-0.0317,1.0419,4
unrestricted,0.0697,1.02,4
unrestricted,0.0255,1.0315,4
unrestricted,-0.0096,1.0368,4
unrestricted,0.0535,1.0083,4
unrestricted,0.0481,1.0223,4
unrestricted,-0.1302,1.0955,5
unrestricted,-0.0927,1.0317,4
unrestricted,0.1631,0.9898,3
unrestricted,-0.0707,1.02,4
unrestricted,0.2198,0.8593,6
unrestricted,-0.0422,0.9979,5
unrestricted,0.1256,0.9599,4
unrestricted,0.205,0.849,8
unrestricted,-0.168,0.9476,5
unrestricted,-0.0492,1.0355,4
unrestricted,0.114,0.9151,5
unrestricted,0.0345,1.0398,4
unrestricted,0.229,0.8393,7
unrestricted,-0.0199,1.0324,4
unrestricted,0.0204,1.0129,2
unrestricted,0.0549,1.036,4
unrestricted,-0.1482,0.925,3
unrestricted,-0.0018,1.0216,4
unrestricted,-0.0444,1.0006,3
unrestricted,-0.0952,1.0033,5
unrestricted,0.157,0.9638,4
unrestricted,0.2625,0.9397,4
unrestricted,-0.2368,0.9039,7
unrestricted,-0.1215,0.9739,5
unrestricted,0.1967,0.9414,3
unrestricted,0.2039,0.9413,5
unrestricted,-0.2083,1.0322,9
unrestricted,0.0645,0.9805,3
unrestricted,0.0638,1.0134,6
unrestricted,-0.0967,1.0284,4
unrestricted,-0.0173,1.0434,4
unrestricted,0.002,1.038,4
unrestricted,0.1468,0.9601,6
unrestricted,-0.0381,1.0328,4
unrestricted,-0.056,1.057,4
unrestricted,0.1722,1.0527,4
unrestricted,-0.1504,1.0955,4
unrestricted,0.0605,1.0546,4
unrestricted,0.0817,0.9811,5
unrestricted,0.2821,0.8732,7
unrestricted,0.0588,1.0184,3
unrestricted,0.0544,1.0167,5
unrestricted,0.0901,1.0308,4
unrestricted,-0.0314,1.0445,4
unrestricted,0.2257,0.9312,5
unrestricted,-0.0482,1.047,4
unrestricted,-0.2591,1.1233,5
unrestricted,-0.0371,1.0077,4
unrestricted,0.4878,0.7372,25
unrestricted,-0.1053,0.9606,2
unrestricted,-0.2492,0.8229,5
unrestricted,-0.1416,1.0987,6
