signature,n_genes,n_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_identity_D1,retention_composition_C1,retention_joint,below50_identity,below50_composition,switches_side,joint_intercept,sign_reverses,ratio_unstable
LEE_LIVER_CANCER_HEPATOBLAST,16,16,-0.2514,0.00595,1.3074,0.0326,0.0103,0,1,1,+0.0026,1,0
LEE_LIVER_CANCER_MYC_DN,63,60,-0.3613,2.45e-09,0.6166,1.0469,0.5853,0,0,0,-0.2115,0,0
LEE_LIVER_CANCER_MYC_E2F1_DN,64,64,-0.4982,5.6e-09,0.595,1.0879,0.6134,0,0,0,-0.3056,0,0
LEE_LIVER_CANCER_MYC_TGFA_DN,65,65,-0.4463,7.34e-09,0.5089,1.1032,0.5266,0,0,0,-0.2350,0,0
LEE_LIVER_CANCER_MYC_UP,54,54,0.1335,0.00047,0.8986,1.1075,1.0184,0,0,0,+0.1360,0,0
LEE_LIVER_CANCER_SURVIVAL_DN,180,176,0.5508,1.28e-07,0.6162,1.1127,0.6733,0,0,0,+0.3709,0,0
LEE_LIVER_CANCER_SURVIVAL_UP,187,180,-0.5282,2.25e-08,0.4025,1.1985,0.5225,1,0,1,-0.2760,0,0
LIU_LIVER_CANCER,35,31,-0.0924,0.0234,0.6038,0.9512,0.4404,0,0,0,-0.0407,0,0
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_DN,516,509,0.0902,4.63e-06,0.9047,0.9545,0.8204,0,0,0,+0.0740,0,0
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,239,236,0.0736,1.18e-05,0.0923,1.2709,0.2322,1,0,1,+0.0171,0,0
MIDORIKAWA_AMPLIFIED_IN_LIVER_CANCER,55,51,0.1341,0.000357,0.6124,0.9846,0.4953,0,0,0,+0.0664,0,0
MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN,21,21,-0.8712,1.73e-08,0.5532,1.0715,0.5392,0,0,0,-0.4698,0,0
NABA_MATRISOME_METASTATIC_COLORECTAL_LIVER_METASTASIS,30,30,-0.3802,1.16e-06,1.2272,0.4521,0.5436,0,1,1,-0.2067,0,0
OHGUCHI_LIVER_HNF4A_TARGETS_DN,170,163,-0.5744,6.59e-09,0.5695,1.1126,0.6151,0,0,0,-0.3533,0,0
OHGUCHI_LIVER_HNF4A_TARGETS_UP,50,50,-0.2497,1.9e-07,0.6621,0.8531,0.3801,0,0,0,-0.0949,0,0
PATIL_LIVER_CANCER,660,637,0.6648,1.07e-08,0.7691,0.9305,0.6183,0,0,0,+0.4110,0,0
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN,36,35,-0.2223,4.75e-07,0.993,0.8783,0.8274,0,0,0,-0.1839,0,0
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP,82,80,0.2875,1.56e-07,0.8377,1.036,0.846,0,0,0,+0.2432,0,0
