name,retention_joint,HR_unadj,p_unadj,q_unadj,HR_adj,p_adj,surviving_fraction
OHGUCHI_LIVER_HNF4A_TARGETS_DN,0.0409,0.9015,0.15742760526769256,0.18637980853531416,1.0872,0.6329881926620623,0.8067
PATIL_LIVER_CANCER,0.9685,1.5541,3.875893053010845e-06,4.015645457336852e-05,1.5198,1.201704791016587e-05,0.9494
ROESSLER_LIVER_CANCER_METASTASIS_DN,0.8756,1.3156,0.0026678551507727122,0.005495781610591787,1.286,0.005286509018563213,0.9171
ROESSLER_LIVER_CANCER_METASTASIS_UP,0.841,1.4041,0.0002855145895624442,0.0012452721856608287,1.3673,0.0009527044937158919,0.9218
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN,0.6135,1.1098,0.23639714321505495,0.2646620190342463,1.0613,0.5202534107330311,0.5709
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP,0.9665,1.3842,0.0006228567427193895,0.0020048201406280353,1.3581,0.0007782395034876895,0.9415
SERVITJA_LIVER_HNF1A_TARGETS_UP,0.9959,1.4828,1.8161397075265095e-05,0.00014566259194571476,1.4694,2.0352277698324772e-05,0.9769
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1,0.8685,1.4539,2.905829057400893e-05,0.00019025305713507676,1.42,0.00015504509589020794,0.9368
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2,0.8523,1.377,0.00031516658377058994,0.0012984863251348305,1.3445,0.0010403267712709172,0.9253
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3,0.8605,1.3266,0.0014110968333844592,0.003404094799105002,1.2968,0.0036288499306087597,0.9196
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4,1.4709,1.0386,0.6587076400390589,0.6784688692402306,1.1481,0.14433326411502442,3.6453
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM5,0.7752,1.3309,0.001075640610219439,0.0028407944321180057,1.2933,0.0051359544960822776,0.8997
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6,0.8909,1.3229,0.002085439775788738,0.004669571671874783,1.2971,0.003557399026925845,0.9296
SMITH_LIVER_CANCER,1.1343,1.3287,0.002653787320343254,0.005495781610591787,1.4453,9.742685974429787e-05,1.296
SU_LIVER,0.3416,0.8321,0.006659692319505081,0.010888068395381324,0.5876,0.009029610051403217,2.8925
VILLANUEVA_LIVER_CANCER_KRT19_UP,0.9399,1.5101,4.288553401039357e-06,4.015645457336852e-05,1.4799,2.025135097216255e-05,0.951
WANG_RECURRENT_LIVER_CANCER_UP,0.9194,1.36,0.0005780011062896096,0.0019204552886396705,1.328,0.0013336821479659846,0.9226
WENG_POR_TARGETS_LIVER_DN,0.5348,0.9217,0.3334437325516294,0.36152320476650346,1.0132,0.9019413256716514,0.1608
WENG_POR_TARGETS_LIVER_UP,1.8933,1.215,0.039475487999392087,0.0514680413156631,1.5059,0.0002181837095842374,2.1024
WOO_LIVER_CANCER_RECURRENCE_DN,0.058,0.8326,0.015425815662239464,0.023026942220444418,0.784,0.10769749397650662,1.3285
WOO_LIVER_CANCER_RECURRENCE_UP,0.5225,1.2803,0.004105904195298797,0.007419440914311861,1.2473,0.021914747349673403,0.8945
YAMASHITA_LIVER_CANCER_STEM_CELL_DN,0.224,0.8513,0.04097740896535779,0.05275841404289815,0.8728,0.319223638454955,0.8448
YAMASHITA_LIVER_CANCER_STEM_CELL_UP,0.8962,1.2987,0.0036095297485173243,0.007005549570029369,1.2804,0.00462174586983198,0.9457
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,0.8909,1.3808,0.0002901605092801931,0.0012452721856608287,1.3467,0.0010368477949433865,0.9224
