gene	spearman	p	q
SPTBN1	0.630819	<5.33E-54	<9.64E-54
GJB1	0.630783	<5.33E-54	<9.64E-54
ARHGAP29	0.630762	<5.33E-54	<9.64E-54
KCNAB2	0.630717	<5.33E-54	<9.64E-54
LIMA1	0.630654	<5.33E-54	<9.64E-54
RDH10	0.630604	<5.33E-54	<9.64E-54
COQ9	0.630439	<5.33E-54	<9.64E-54
LAMP2	0.630436	<5.33E-54	<9.64E-54
MGST3	0.630436	<5.33E-54	<9.64E-54
CCNYL1	0.630398	<5.33E-54	<9.64E-54
TMEM53	0.630383	<5.33E-54	<9.64E-54
ITGB2	0.630013	<5.33E-54	<9.64E-54
FAM162A	0.629893	<5.33E-54	<9.64E-54
DARS2	0.629872	<5.33E-54	<9.64E-54
BAX	0.629798	<5.33E-54	<9.64E-54
PPP1R2	0.629595	<5.33E-54	<9.64E-54
FAM107B	0.629511	<5.33E-54	<9.64E-54
HEPACAM	0.629485	6.27e-19	1.12e-18
MPP6	0.629404	<5.33E-54	<9.64E-54
CFHR2	0.629386	<5.33E-54	<9.64E-54
PDS5B	0.629293	<5.33E-54	<9.64E-54
RFC5	0.629212	<5.33E-54	<9.64E-54
SNX12	0.629192	<5.33E-54	<9.64E-54
CHD1L	0.629189	<5.33E-54	<9.64E-54
NAPG	0.629141	<5.33E-54	<9.64E-54
EARS2	0.629093	<5.33E-54	<9.64E-54
SLC12A9	0.629021	<5.33E-54	<9.64E-54
PTDSS1	0.628997	<5.33E-54	<9.64E-54
DECR2	0.628777	<5.33E-54	<9.64E-54
GFM2	0.62875	<5.33E-54	<9.64E-54
PAWR	0.628711	<5.33E-54	<9.64E-54
SUPV3L1	0.628624	<5.33E-54	<9.64E-54
EEF1E1	0.628588	<5.33E-54	<9.64E-54
SPATA5	0.628588	<5.33E-54	<9.64E-54
CENPV	0.628436	<5.33E-54	<9.64E-54
FAM91A1	0.628323	<5.33E-54	<9.64E-54
OPA1	0.628311	<5.33E-54	<9.64E-54
DBNL	0.628179	<5.33E-54	<9.64E-54
THBS1	0.628069	<5.33E-54	<9.64E-54
NECAP2	0.628015	<5.33E-54	<9.64E-54
TMEM186	0.62783	<5.33E-54	<9.64E-54
CDC42EP4	0.627794	<5.33E-54	<9.64E-54
QRSL1	0.627606	<5.33E-54	<9.64E-54
LYRM9	0.627532	<5.33E-54	<9.64E-54
ALG2	0.627451	<5.33E-54	<9.64E-54
PREP	0.627424	<5.33E-54	<9.64E-54
MYCBP2	0.627323	<5.33E-54	<9.64E-54
SCO1	0.627227	<5.33E-54	<9.64E-54
F7	0.627206	<5.33E-54	<9.64E-54
ACTR1A	0.626935	<5.33E-54	<9.64E-54
RASA3	0.626932	<5.33E-54	<9.64E-54
TOM1L2	0.626788	<5.33E-54	<9.64E-54
NCOA2	0.626758	<5.33E-54	<9.64E-54
